subject,response,task,report
1,11.6,visual,visual
1,13.06,visual,verbal
1,16.05,verbal,visual
1,11.51,verbal,verbal
2,22.71,visual,visual
2,6.27,visual,verbal
2,13.16,verbal,visual
2,23.86,verbal,verbal
3,20.96,visual,visual
3,7.77,visual,verbal
3,15.87,verbal,visual
3,9.51,verbal,verbal
4,13.96,visual,visual
4,6.48,visual,verbal
4,12.49,verbal,visual
4,13.2,verbal,verbal
5,14.6,visual,visual
5,6.01,visual,verbal
5,14.69,verbal,visual
5,12.31,verbal,verbal
6,10.98,visual,visual
6,7.6,visual,verbal
6,8.64,verbal,visual
6,12.26,verbal,verbal
7,21.08,visual,visual
7,18.77,visual,verbal
7,17.24,verbal,visual
7,12.68,verbal,verbal
8,15.85,visual,visual
8,10.29,visual,verbal
8,11.69,verbal,visual
8,11.37,verbal,verbal
9,15.68,visual,visual
9,9.18,visual,verbal
9,17.23,verbal,visual
9,18.28,verbal,verbal
10,16.1,visual,visual
10,5.88,visual,verbal
10,8.77,verbal,visual
10,8.33,verbal,verbal
11,11.87,visual,visual
11,6.91,visual,verbal
11,8.44,verbal,visual
11,10.6,verbal,verbal
12,17.49,visual,visual
12,5.66,visual,verbal
12,9.05,verbal,visual
12,8.24,verbal,verbal
13,24.4,visual,visual
13,6.68,visual,verbal
13,18.45,verbal,visual
13,8.53,verbal,verbal
14,23.35,visual,visual
14,11.97,visual,verbal
14,24.38,verbal,visual
14,15.85,verbal,verbal
15,11.24,visual,visual
15,7.5,visual,verbal
15,14.49,verbal,visual
15,10.91,verbal,verbal
16,20.24,visual,visual
16,11.61,visual,verbal
16,12.19,verbal,visual
16,11.13,verbal,verbal
17,15.52,visual,visual
17,10.9,visual,verbal
17,10.5,verbal,visual
17,10.9,verbal,verbal
18,13.7,visual,visual
18,5.74,visual,verbal
18,11.11,verbal,visual
18,9.33,verbal,verbal
19,28.15,visual,visual
19,9.32,visual,verbal
19,13.85,verbal,visual
19,10.01,verbal,verbal
20,33.98,visual,visual
20,12.64,visual,verbal
20,15.48,verbal,visual
20,28.18,verbal,verbal
